timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778557758.207567,599616076855310462,0,-1018.0,49.0,-46.0,1020.22
1778557758.247567,599616076895310462,0,-1016.0,48.0,-44.0,1018.08
1778557758.287567,599616076935310462,0,-1017.0,45.0,-45.0,1018.99
1778557758.327567,599616076975310462,0,-1017.0,49.0,-41.0,1019.0
1778557758.367567,599616077015310462,0,-1017.0,49.0,-42.0,1019.05
1778557758.407567,599616077055310462,0,-1016.0,48.0,-48.0,1018.27
1778557758.447567,599616077095310462,0,-1017.0,49.0,-47.0,1019.26
1778557758.487567,599616077135310462,0,-1017.0,48.0,-46.0,1019.17
1778557758.527567,599616077175310462,0,-1017.0,49.0,-48.0,1019.31
1778557758.567567,599616077215310462,0,-1016.0,48.0,-50.0,1018.36
1778557758.607567,599616077255310462,0,-1016.0,49.0,-48.0,1018.31
1778557758.647567,599616077295310462,0,-1017.0,50.0,-52.0,1019.56
1778557758.687567,599616077335310462,0,-1017.0,48.0,-52.0,1019.46
1778557758.727567,599616077375310462,0,-1018.0,49.0,-48.0,1020.31
1778557758.767567,599616077415310462,0,-1015.0,49.0,-54.0,1017.62
1778557758.807567,599616077455310462,0,-1018.0,46.0,-35.0,1019.64
1778557758.847567,599616077495310462,0,-1017.0,47.0,-67.0,1020.29
1778557758.887567,599616077535310462,0,-1027.0,43.0,-32.0,1028.4
1778557758.927567,599616077575310462,0,-1012.0,49.0,-36.0,1013.82
1778557758.967567,599616077615310462,0,-1017.0,50.0,-54.0,1019.66
1778557759.007567,599616077655310462,0,-1006.0,43.0,-24.0,1007.2
1778557759.047567,599616077695310462,0,-1016.0,47.0,-20.0,1017.28
1778557759.087567,599616077735310462,0,-1019.0,47.0,-22.0,1020.32
1778557759.127567,599616077775310462,0,-1021.0,49.0,-40.0,1022.96
1778557759.167567,599616077815310462,0,-1016.0,45.0,-40.0,1017.78
1778557759.207567,599616077855310462,0,-1011.0,52.0,-55.0,1013.83
1778557759.247567,599616077895310462,0,-1013.0,54.0,-60.0,1016.21
1778557759.287567,599616077935310462,0,-1015.0,51.0,-68.0,1018.55
1778557759.327567,599616077975310462,0,-1016.0,45.0,-65.0,1019.07
1778557759.367567,599616078015310462,0,-1015.0,48.0,-54.0,1017.57
1778557759.407567,599616078055310462,0,-1017.0,43.0,-65.0,1019.98
1778557759.447567,599616078095310462,0,-1027.0,48.0,-54.0,1029.54
1778557759.487567,599616078135310462,0,-1014.0,77.0,-79.0,1019.98
1778557759.527567,599616078175310462,0,-1015.0,110.0,-102.0,1026.03
1778557759.567567,599616078215310462,0,-1014.0,104.0,-109.0,1025.13
1778557759.607567,599616078255310462,0,-1017.0,100.0,-128.0,1029.89
1778557759.690439,599616078274885736,36,-1018.0,97.0,-103.0,1027.78
1778557759.730439,599616078314885736,36,-1012.0,111.0,-123.0,1025.47
1778557759.770439,599616078354885736,36,-1016.0,123.0,-124.0,1030.9
1778557759.810439,599616078394885736,36,-997.0,103.0,-130.0,1010.7
1778557759.850440,599616078434885736,36,-1006.0,103.0,-126.0,1019.08
1778557759.890440,599616078474885736,36,-1010.0,88.0,-153.0,1025.31
1778557759.930439,599616078514885736,36,-1000.0,14.0,-156.0,1012.19
1778557759.970439,599616078554885736,36,-1005.0,25.0,-157.0,1017.5
1778557760.010439,599616078594885736,36,-1019.0,40.0,-173.0,1034.35
1778557760.050439,599616078634885736,36,-993.0,42.0,-134.0,1002.88
1778557760.090440,599616078674885736,36,-1011.0,95.0,-198.0,1034.58
1778557760.130440,599616078714885736,36,-1019.0,146.0,-150.0,1040.28
1778557760.170439,599616078754885736,36,-1034.0,135.0,-144.0,1052.67
1778557760.210439,599616078794885736,36,-1005.0,107.0,-154.0,1022.35
1778557760.250439,599616078834885736,36,-1003.0,85.0,-175.0,1021.69
