timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778559732.750167,599616047064829070,0,-899.0,60.0,-492.0,1026.58
1778559732.790167,599616047104829070,0,-874.0,68.0,-488.0,1003.32
1778559732.830167,599616047144829070,0,-879.0,54.0,-480.0,1002.97
1778559732.870167,599616047184829070,0,-898.0,81.0,-501.0,1031.49
1778559732.910167,599616047224829070,0,-896.0,93.0,-481.0,1021.19
1778559732.950167,599616047264829070,0,-895.0,87.0,-485.0,1021.67
1778559732.990167,599616047304829070,0,-895.0,90.0,-486.0,1022.41
1778559733.030167,599616047344829070,0,-892.0,96.0,-485.0,1019.86
1778559733.070167,599616047384829070,0,-904.0,84.0,-487.0,1030.26
1778559733.110167,599616047424829070,0,-898.0,77.0,-482.0,1022.08
1778559733.150167,599616047464829070,0,-896.0,92.0,-483.0,1022.04
1778559733.190167,599616047504829070,0,-896.0,92.0,-486.0,1023.46
1778559733.230167,599616047544829070,0,-900.0,91.0,-480.0,1024.05
1778559733.270167,599616047584829070,0,-904.0,84.0,-484.0,1028.85
1778559733.310167,599616047624829070,0,-898.0,76.0,-480.0,1021.07
1778559733.350167,599616047664829070,0,-903.0,73.0,-487.0,1028.55
1778559733.390167,599616047704829070,0,-902.0,72.0,-483.0,1025.71
1778559733.430167,599616047744829070,0,-902.0,71.0,-487.0,1027.53
1778559733.470167,599616047784829070,0,-900.0,69.0,-488.0,1026.11
1778559733.510167,599616047824829070,0,-898.0,66.0,-489.0,1024.64
1778559733.550167,599616047864829070,0,-898.0,64.0,-483.0,1021.66
1778559733.590167,599616047904829070,0,-899.0,59.0,-492.0,1026.52
1778559733.630167,599616047944829070,0,-897.0,57.0,-478.0,1018.01
1778559733.670167,599616047984829070,0,-899.0,61.0,-489.0,1025.2
1778559733.710167,599616048024829070,0,-896.0,59.0,-491.0,1023.41
1778559733.750167,599616048064829070,0,-903.0,49.0,-485.0,1026.17
1778559733.790167,599616048104829070,0,-902.0,47.0,-483.0,1024.26
1778559733.830167,599616048144829070,0,-901.0,50.0,-484.0,1023.99
1778559733.870167,599616048184829070,0,-901.0,48.0,-487.0,1025.32
1778559733.910167,599616048224829070,0,-900.0,48.0,-488.0,1024.91
1778559733.950167,599616048264829070,0,-904.0,46.0,-477.0,1023.16
1778559733.990167,599616048304829070,0,-896.0,82.0,-502.0,1030.31
1778559734.030167,599616048344829070,0,-830.0,70.0,-464.0,953.47
1778559734.070167,599616048384829070,0,-940.0,44.0,-469.0,1051.43
1778559734.110167,599616048424829070,0,-928.0,38.0,-495.0,1052.45
1778559734.150167,599616048464829070,0,-864.0,83.0,-478.0,990.89
1778559734.148976,599616048485441966,36,-890.0,82.0,-489.0,1018.8
1778559734.188977,599616048525441966,36,-909.0,58.0,-488.0,1033.34
1778559734.228976,599616048565441966,36,-893.0,59.0,-484.0,1017.44
1778559734.268976,599616048605441966,36,-887.0,59.0,-485.0,1012.66
1778559734.308976,599616048645441966,36,-903.0,53.0,-486.0,1026.85
1778559734.348976,599616048685441966,36,-902.0,69.0,-493.0,1030.25
1778559734.388976,599616048725441966,36,-897.0,66.0,-475.0,1017.15
1778559734.428977,599616048765441966,36,-899.0,61.0,-488.0,1024.73
1778559734.468976,599616048805441966,36,-893.0,54.0,-493.0,1021.48
1778559734.508976,599616048845441966,36,-902.0,59.0,-486.0,1026.29
1778559734.548976,599616048885441966,36,-902.0,54.0,-484.0,1025.07
