timestamp,window_sec,n_rr,n_acc,hr_mean,hr_std,hr_min,hr_max,rr_mean,rr_std,rmssd,pnn50,rr_cv,rr_iqr,rr_skew,rr_kurt,sd1,sd2,sd12,rr_entropy,rr_long_ratio,rr_short_ratio,sdrr,rmssd_sdnn_ratio,lf_power,hf_power,lf_hf,acc_vm_mean,acc_vm_std,acc_vm_max,acc_vm_range,acc_x_std,acc_y_std,acc_z_std,acc_energy,activity_state,fall_spike,free_fall,post_still,fall_candidate,strong_fall,fall_peak_vm,fall_min_before_1s,fall_std_after_5s,hr_context_alert,hr_context_threshold,label_activity,label_anomaly
2026-05-12 11:20:37,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:20:42,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:20:47,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:20:52,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:20:57,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:21:02,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:21:07,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:21:12,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:21:17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:21:22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:21:27,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:21:32,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:21:37,30,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:21:42,30,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:21:47,30,7,0,72.28,10.92,60.23,95.69,846.96,113.28,164.12,66.67,0.133747,117.65,-0.5992,-0.3779,107.59,118.69,0.9064,2.2359,0.2857,0.1429,152.15,1.4488,0.0,0.0,0.0,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:21:52,30,13,0,68.94,9.69,58.96,95.69,885.29,107.76,122.15,58.33,0.121719,143.5,-0.807,0.0819,85.85,125.91,0.6818,2.4493,0.2308,0.0769,121.41,1.1335,0.0,0.0,0.0,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:21:57,30,18,0,69.08,8.57,58.96,95.69,880.31,96.35,105.18,47.06,0.109448,136.95,-0.7251,0.3875,73.48,114.75,0.6403,2.6416,0.1667,0.1111,103.91,1.0917,0.0,0.0,0.0,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:22:02,30,24,0,67.37,8.01,58.96,95.69,901.28,91.41,91.49,39.13,0.101418,111.55,-1.1209,1.0645,63.89,112.38,0.5685,2.5902,0.125,0.1667,90.35,1.001,0.0,0.0,0.0,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:22:07,30,27,0,67.88,6.57,58.96,81.49,891.96,83.1,49.15,34.62,0.093164,143.05,-0.2973,-1.1973,34.73,112.27,0.3093,3.0973,0.1852,0.2222,49.12,0.5915,0.0,0.0,0.0,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:22:12,30,32,0,67.07,7.27,54.32,81.49,904.9,95.71,75.06,38.71,0.105766,154.05,-0.0702,-0.8922,52.97,124.56,0.4253,3.1647,0.1562,0.2188,74.91,0.7843,0.0,0.0,0.0,,,,,,,,,UNKNOWN,,,,,,,,,SAFE,,,
2026-05-12 11:22:17,30,33,108,66.75,7.19,54.32,81.49,909.02,94.23,73.33,37.5,0.103662,148.5,-0.1935,-0.8228,51.6,122.87,0.42,3.0859,0.1515,0.2121,72.98,0.7782,0.0,0.0,0.0,1022.66,10.3,1052.45,98.99,10.82,11.74,8.77,1045941.06,REST,0,0,0,0,0,0.0,0.0,0.0,SAFE,100,,
